Id,Label,name,attribute,event_id,meta_category,[z],Degree,modularity_class,shared_cluster,X,Y,Z,Size,Color
20148,,"Maskentheater, inspiriert durch Kafka's Metamorphose",workshop,5,0,1,2,7,7,-472.67804,-1112.255615,0.000646,50,"#00c4ff"
20149,,Japanische Kalligraphie: Spielen mit Pinsel und Tusche,workshop,5,0,1,5,5,5,264.294159,-198.764542,0.00436,50,"#df89ff"
20150,,"Neue Impulse aus der Kreativität, dem Schöpferischen Akt",workshop,5,0,1,1,7,7,-693.140503,-678.418579,0.000099,50,"#00c4ff"
20151,,Gentechnik- Instrument einer technomorphen Rekonstruktion des Lebendigen,workshop,5,0,1,4,5,5,-419.897461,44.257523,0.002245,50,"#df89ff"
20152,,Unsere Zeit und die unheimliche Beschleunigung der technischen Entwicklung,workshop,5,0,1,5,8,8,-558.765686,565.19812,0.001636,50,"#ff5584"
20153,,Earth's Structures in Evolution: A challenge of mind over the chaos.,workshop,5,0,1,3,6,6,-881.014099,-321.864227,0.006647,50,"#4c463e"
20154,,Symbol und Irrationalität. Pauli's Ideen zu einer neuen Naturwissenschaft,workshop,5,0,1,4,1,1,-478.446472,-278.515839,0.009589,50,"#c0c0c0"
20155,,"Atem, Körper und Bewusstsein",workshop,5,0,1,6,3,3,519.187866,-234.562683,0.00914,50,"#73c000"
20156,,Wandlungen in der Industrie,workshop,5,0,1,7,5,5,-338.125397,334.984344,0.000407,50,"#df89ff"
20157,,Metamorphosen des Wissenschaftsverständnisses im Licht der Alchemie,workshop,5,0,1,6,5,5,-87.133331,-92.469833,0.002062,50,"#df89ff"
20159,,Traumarbeit,workshop,5,0,1,1,1,1,633.438965,-872.565735,0.003336,50,"#c0c0c0"
20160,,Metamorphose der Dissidenz- Gedanken zur gegenwärtigen Patriarchatskritik,workshop,5,0,1,3,0,0,-1139.175049,132.144211,0.005659,50,"#d3b3b0"
20161,,Feldenkrais,workshop,5,0,1,2,3,3,958.725159,129.397034,0.007864,50,"#73c000"
20162,,Verbindungen- in Cortona und von Cortona zum Alltag,workshop,5,0,1,6,5,5,-190.652786,76.586609,0.004366,50,"#df89ff"
