Source,Target,Type,Id,Label,Weight,attribute,MMNT-EdgeType,Color
44,351,Undirected,2019,person-person,1,,person<--->person,"#000000"
47,74,Undirected,2020,person-person,2,,person<--->person,"#000000"
47,76,Undirected,2021,person-person,1,,person<--->person,"#000000"
47,78,Undirected,2022,person-person,3,,person<--->person,"#000000"
47,81,Undirected,2023,person-person,1,,person<--->person,"#000000"
47,82,Undirected,2024,person-person,1,,person<--->person,"#000000"
1,301,Undirected,1822,person-person,2,,person<--->person,"#000000"
1,304,Undirected,1823,person-person,2,,person<--->person,"#000000"
1,307,Undirected,1824,person-person,4,,person<--->person,"#000000"
1,322,Undirected,1825,person-person,2,,person<--->person,"#000000"
1,325,Undirected,1826,person-person,2,,person<--->person,"#000000"
1,326,Undirected,1827,person-person,4,,person<--->person,"#000000"
1,330,Undirected,1828,person-person,2,,person<--->person,"#000000"
1,337,Undirected,1829,person-person,2,,person<--->person,"#000000"
1,355,Undirected,1830,person-person,2,,person<--->person,"#000000"
78,98,Undirected,2074,person-person,2,,person<--->person,"#000000"
1,289,Undirected,1821,person-person,2,,person<--->person,"#000000"
82,289,Undirected,2156,person-person,1,,person<--->person,"#000000"
77,132,Undirected,2058,person-person,1,,person<--->person,"#000000"
77,142,Undirected,2059,person-person,1,,person<--->person,"#000000"
1,191,Undirected,1820,person-person,2,,person<--->person,"#000000"
78,103,Undirected,2075,person-person,1,,person<--->person,"#000000"
1,184,Undirected,1818,person-person,2,,person<--->person,"#000000"
74,76,Undirected,2038,person-person,1,,person<--->person,"#000000"
82,304,Undirected,2157,person-person,1,,person<--->person,"#000000"
1,150,Undirected,1816,person-person,2,,person<--->person,"#000000"
1,176,Undirected,1817,person-person,2,,person<--->person,"#000000"
1,105,Undirected,1808,person-person,2,,person<--->person,"#000000"
1,128,Undirected,1813,person-person,2,,person<--->person,"#000000"
1,111,Undirected,1809,person-person,4,,person<--->person,"#000000"
1,119,Undirected,1810,person-person,2,,person<--->person,"#000000"
1,122,Undirected,1811,person-person,2,,person<--->person,"#000000"
1,126,Undirected,1812,person-person,2,,person<--->person,"#000000"
82,306,Undirected,2158,person-person,1,,person<--->person,"#000000"
3,77,Undirected,1834,person-person,1,,person<--->person,"#000000"
78,144,Undirected,2084,person-person,1,,person<--->person,"#000000"
82,312,Undirected,2159,person-person,1,,person<--->person,"#000000"
5,301,Undirected,1867,person-person,1,,person<--->person,"#000000"
22,103,Undirected,1934,person-person,2,,person<--->person,"#000000"
33,80,Undirected,1978,person-person,1,,person<--->person,"#000000"
1,132,Undirected,1814,person-person,2,,person<--->person,"#000000"
33,82,Undirected,1979,person-person,1,,person<--->person,"#000000"
1,96,Undirected,1805,person-person,4,,person<--->person,"#000000"
5,95,Undirected,1843,person-person,2,,person<--->person,"#000000"
1,80,Undirected,1801,person-person,4,,person<--->person,"#000000"
78,191,Undirected,2092,person-person,1,,person<--->person,"#000000"
78,147,Undirected,2085,person-person,2,,person<--->person,"#000000"
78,122,Undirected,2079,person-person,1,,person<--->person,"#000000"
34,306,Undirected,2001,person-person,1,,person<--->person,"#000000"
80,105,Undirected,2113,person-person,2,,person<--->person,"#000000"
77,350,Undirected,2064,person-person,1,,person<--->person,"#000000"
77,321,Undirected,2063,person-person,1,,person<--->person,"#000000"
80,191,Undirected,2128,person-person,2,,person<--->person,"#000000"
82,324,Undirected,2160,person-person,1,,person<--->person,"#000000"
78,355,Undirected,2104,person-person,1,,person<--->person,"#000000"
78,356,Undirected,2105,person-person,1,,person<--->person,"#000000"
77,176,Undirected,2061,person-person,1,,person<--->person,"#000000"
76,178,Undirected,2051,person-person,1,,person<--->person,"#000000"
74,276,Undirected,2045,person-person,1,,person<--->person,"#000000"
80,111,Undirected,2114,person-person,4,,person<--->person,"#000000"
74,306,Undirected,2046,person-person,1,,person<--->person,"#000000"
80,118,Undirected,2115,person-person,1,,person<--->person,"#000000"
