Id,Label,name,attribute,event_id,meta_category,[z],modularity_class,X,Y,Size,Color
20065,,Das Problem der Realität in der Physik,workshop,3,0,1,5,74.877563,-172.49675,10,"#00bd94"
20066,,Aesthetik des Lebendigen,workshop,3,0,1,5,-220.463547,-236.269974,10,"#00bd94"
20067,,Wahrnehmung in Zen-Buddhismus,workshop,3,0,1,4,-237.181122,-6.666855,10,"#4c463e"
20068,,Olfaktorische Wahrnehmung,workshop,3,0,1,4,-57.857895,-19.706514,10,"#4c463e"
20069,,Wie wirklich ist die Wirklichkeit,workshop,3,0,1,5,44.104668,-169.082703,10,"#00bd94"
20070,,Kindliche Wahrnehmung - dialogische Wahrnehmung,workshop,3,0,1,4,-136.69574,-154.051041,10,"#4c463e"
20071,,Das Pendel als Hilsmittel zur Wahrnehmung,workshop,3,0,1,1,-311.742554,-5.772412,10,"#df89ff"
20072,,Overtone Music. Theory and Praxis,workshop,3,0,1,1,-384.11853,-227.443771,10,"#df89ff"
20073,,Colour and Vision,workshop,3,0,1,4,-168.145279,23.968983,10,"#4c463e"
20075,,Tai-ci-Quan,workshop,3,0,1,1,-373.659119,-41.038422,10,"#df89ff"
20076,,Perception of future economy and ethics,workshop,3,0,1,4,46.610527,-254.310425,10,"#4c463e"
20077,,Aktive Sinnerswahrnehmung,workshop,3,0,1,3,-188.940369,-242.931519,10,"#00c4ff"
20078,,Hypnosetherapie,workshop,3,0,1,1,-347.535675,-205.377457,10,"#df89ff"
20079,,Bauform als Zeichen und Symbol,workshop,3,0,1,3,-223.644913,-180.739838,10,"#00c4ff"
20080,,Stein-Holz-Eisen,workshop,3,0,1,2,-298.752594,-351.501221,10,"#73c000"
20081,,Musikimprovisation,workshop,3,0,1,3,-224.009369,-334.735657,10,"#00c4ff"
20082,,Der komponierende und improvisierende Computer,workshop,3,0,1,3,-233.759842,-416.672455,10,"#00c4ff"
20083,,Die Schöpfung als menschlicher Ort,workshop,3,0,1,3,-258.151154,-238.324341,10,"#00c4ff"
20084,,Wahrnehmung des Selbst in der Alchemie,workshop,3,0,1,1,-281.564209,-206.509293,10,"#df89ff"
20085,,"Wahrnehmung im Alltag - Liebe, Beruf, Erziehung",workshop,3,0,1,5,-57.445377,-118.814323,10,"#00bd94"
20086,,"Gebrauch,Gefahren und Erfahrungen mit psychedelischen Drogen",workshop,3,0,1,0,-290.730316,49.685444,10,"#ff8805"
20087,,Wahrnehmung in der Tibetischen Tradition,workshop,3,0,1,4,-166.22934,-38.016899,10,"#4c463e"
20088,,Weiterbildung in Körpertherapie,workshop,3,0,1,1,-247.059097,-204.834473,10,"#df89ff"
20089,,Ki-kraft,workshop,3,0,1,1,-326.350494,-81.858864,10,"#df89ff"
20090,,Bioenergetics,workshop,3,0,1,1,-422.606995,-112.788422,10,"#df89ff"
20091,,"Bioenergetics, Arbeit mit Träumen",workshop,3,0,1,1,-397.04248,-165.177429,10,"#df89ff"
20092,,Focusing,workshop,3,0,1,1,-249.200165,-158.075409,10,"#df89ff"
20093,,"Perception of the Bodyform, Postural Integration and Rolfing",workshop,3,0,1,1,-287.547729,-38.393196,10,"#df89ff"
20100,,Body work Scheidegger,workshop,1,0,1,1,-480.515564,-175.124771,10,"#df89ff"
20101,,Body work Müller,workshop,1,0,1,1,-420.271667,-77.850899,10,"#df89ff"
20102,,Body work Walterspiel,workshop,1,0,1,1,-347.305908,-54.598602,10,"#df89ff"
20103,,Body work Scheidegger 2,workshop,2,0,1,1,-366.231659,-177.532806,10,"#df89ff"
20104,,Body work Müller 2,workshop,2,0,1,1,-410.38913,-50.164146,10,"#df89ff"
20105,,Body work Walterspiel 2,workshop,2,0,1,1,-321.50351,-42.941879,10,"#df89ff"
20106,,Spannung zwischen Beruf- und Privatleben 2,workshop,2,0,1,4,-115.014252,-403.986938,10,"#4c463e"
20107,,Interspecies Communication,workshop,3,0,1,3,-124.853737,-363.650085,10,"#00c4ff"
20108,,Geld und Magie - die Utopie der modernen Zeit. Eine Dichtung von Goethe's Faust,workshop,4,0,1,5,-50.379948,-207.180664,10,"#00bd94"
20109,,Utopie/Astrologie,workshop,4,0,1,1,-509.134125,-128.190201,10,"#df89ff"
20110,,Frauenmystik im Mittelalter. Religiöse Utopie als Daseinsveränderung?,workshop,4,0,1,4,-81.889214,-261.960663,10,"#4c463e"
20111,,Mitsingen,workshop,4,0,1,3,-313.341278,-425.988037,10,"#00c4ff"
20112,,Method and dream,workshop,4,0,1,5,-122.823997,-125.412132,10,"#00bd94"
20113,,Schulung der Achtsamkeit im Sinne von Graf Dürckheim,workshop,4,0,1,1,-339.790314,-140.174759,10,"#df89ff"
20114,,The Mechanistic Model of Life: A Critical Reexamination in the Light of Recent Advances in Biological Knowledge,workshop,4,0,1,5,-19.793612,-104.875099,10,"#00bd94"
20115,,Anthrop-Art; Menschenkundliches zur Kunst,workshop,4,0,1,5,-178.096603,-295.60611,10,"#00bd94"
20116,,Mut und Mitwelt,workshop,4,0,1,5,20.524305,-170.73735,10,"#00bd94"
20117,,Focusing,workshop,4,0,1,1,-315.421448,-224.35051,10,"#df89ff"
20118,,Stein-Holz-Eisen,workshop,4,0,1,2,-380.523834,-390.839386,10,"#73c000"
20119,,Feministische Solidarität: Mehr als Utopie?,workshop,4,0,1,4,-190.566193,-326.584808,10,"#4c463e"
20120,,Tarot,workshop,4,0,1,1,-454.624084,-118.002457,10,"#df89ff"
20121,,"Erziehung zur psychischen Ge-
sundheit",workshop,4,0,1,5,-183.899414,-67.113625,10,"#00bd94"
20122,,Was geht? Was ginge?,workshop,4,0,1,5,-101.99588,-295.754944,10,"#00bd94"
20123,,Teleskope und Weltraumsonden - unsere zukünftige Sicht des Weltalls,workshop,4,0,1,4,18.338524,20.068085,10,"#4c463e"
20124,,Theatre lmprovise,workshop,4,0,1,3,-325.41922,-483.11319,10,"#00c4ff"
20125,,Japan handicrafts as living languages for regaining the wholeness of human life in an age of total work divisions.,workshop,4,0,1,5,-207.488007,-272.305084,10,"#00bd94"
20126,,"Overtone Music. Theory 
and Praxis",workshop,4,0,1,3,-263.323242,-470.33786,10,"#00c4ff"
20127,,Personal experience with Utopia,workshop,4,0,1,3,-219.886414,-304.820801,10,"#00c4ff"
20128,,The integrated scientist and the courage of utopia,workshop,4,0,1,4,-92.731171,-106.542313,10,"#4c463e"
20129,,Entwickeln von Zukunftsvorstellungen an einem Beispiel in der chemischen Industrie. Beschäftigung mit der Zukunft in der chemischen Industrie (im Rahmen der Industrie),workshop,4,0,1,5,-80.331673,-223.597153,10,"#00bd94"
20130,,Rolfing Movement,workshop,4,0,1,1,-421.128174,-143.190262,10,"#df89ff"
20131,,Bioenergetik,workshop,4,0,1,1,-398.352173,-129.609924,10,"#df89ff"
20132,,Die Geschichte des Neutrino,workshop,4,0,1,5,80.131149,-132.710052,10,"#00bd94"
20133,,Die späten Klaviersonaten von L.v. Beethoven,workshop,4,0,1,3,-204.930939,-359.984436,10,"#00c4ff"
20134,,-Körper- Selbst,workshop,4,0,1,1,-349.642548,-240.144394,10,"#df89ff"
20135,,Zukünftige Erforschung des Weltalls durch die Astronomie,workshop,4,0,1,4,-41.607735,-75.271072,10,"#4c463e"
20136,,"(Malen, Tag und Nacht)",workshop,4,0,1,2,-455.601898,-467.602539,10,"#73c000"
20137,,Körperspiel,workshop,4,0,1,1,-307.953979,-148.020462,10,"#df89ff"
20138,,One World of Matter and Mind,workshop,4,0,1,5,-202.371841,-106.446426,10,"#00bd94"
20139,,KI,workshop,4,0,1,1,-361.747742,-81.837738,10,"#df89ff"
20140,,Utopie in Tiefenpsychologischer Sicht,workshop,4,0,1,5,-125.56749,-271.996399,10,"#00bd94"
20141,,Zen,workshop,4,0,1,4,-295.593414,-72.299301,10,"#4c463e"
20142,,Der Ordnung in der Natur auf der Spur,workshop,4,0,1,2,-382.249329,-264.196869,10,"#73c000"
20143,,Die Metamorphose der Liebe,workshop,5,0,1,5,-204.86171,-149.544739,10,"#00bd94"
20144,,Neues Denken in Wissenschaft und Theologie,workshop,5,0,1,5,11.61549,-196.296036,10,"#00bd94"
20145,,Metamorphoses of Simultaneous Perception,workshop,5,0,1,4,-200.682098,36.390701,10,"#4c463e"
20146,,Metamorphosen des Wirklichen,workshop,5,0,1,5,-34.170361,-174.750183,10,"#00bd94"
20147,,Die Verwandlung feinenergetischer Felder durch Architektur,workshop,5,0,1,2,-467.387299,6.380551,10,"#73c000"
20148,,"Maskentheater, inspiriert durch Kafka's Metamorphose",workshop,5,0,1,2,-509.459686,-443.634521,10,"#73c000"
